Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
BSE,EQ,28-Dec-20,616.15,618.5,627.8,616.3,616.95,617.7,621.33,283286,176014638.2,8012
BSE,EQ,29-Dec-20,617.7,618.1,624.3,612.05,614.4,614.55,617.25,259853,160395293.2,7853
BSE,EQ,30-Dec-20,614.55,617,617.95,606.55,608.4,609.2,611.45,218172,133402136.6,7597
BSE,EQ,31-Dec-20,609.2,610.6,622.5,606.65,620,619.2,617.04,483037,298052620.5,12017
BSE,EQ,01-Jan-21,619.2,620.9,643,620.9,633.35,633.75,635.18,1249761,793822351.5,34862
BSE,EQ,04-Jan-21,633.75,650,658,641.95,647.5,647.15,649.5,978665,635644319.1,25232
BSE,EQ,05-Jan-21,647.15,645,647.7,635.15,640.5,640.45,641.08,433193,277710491.8,12554
BSE,EQ,06-Jan-21,640.45,641,650,631.2,642,639.9,641.67,499879,320755448.7,13409
BSE,EQ,07-Jan-21,639.9,645,652.95,639,643.95,642.7,647.56,817132,529145728.3,19426
BSE,EQ,08-Jan-21,642.7,646,653,640.15,643,643.9,648.1,610601,395728693.4,18736
BSE,EQ,11-Jan-21,643.9,647,648.4,626.5,633,632.5,634.68,342870,217614278,12169
BSE,EQ,12-Jan-21,632.5,634,643.95,629.9,634.95,636,637.17,266117,169561017.5,9443
BSE,EQ,13-Jan-21,636,637.2,640,624,628.05,629.1,630.83,275975,174092212.2,9215
BSE,EQ,14-Jan-21,629.1,630,633,624,631,629.75,628.68,176699,111087281.9,6373
BSE,EQ,15-Jan-21,629.75,630.1,633,617.85,622,622.2,625.69,209948,131361807.4,9106
BSE,EQ,18-Jan-21,622.2,621.6,622.95,608.3,611.2,612.95,614.55,210797,129544822.7,9200
BSE,EQ,19-Jan-21,612.95,616,621.5,613.6,621.5,618.5,618.28,126288,78081650.2,5014
BSE,EQ,20-Jan-21,618.5,620,620,614.85,615,615.9,617.58,142350,87911816.75,6389
BSE,EQ,21-Jan-21,615.9,621,626,604.55,610.95,609.35,617.43,363608,224503024.6,15514
